Order_ID,Merchant,Original_Time,Quantity,Item,Details,Price,Subtotal,Discount,Delivery_Fee,Bag_Fee,Platform_Fee,Tip,Total_Incl_Tax,Date,Weekday,Time_24hr
a9of-h27x,小鮮雞鹹水雞 滷味,11月27日 週一 下午9:40,1,豆干,,28,0,0,0,0,0,0,0,2021/11/27,Monday,21:40
a9of-h27x,小鮮雞鹹水雞 滷味,11月27日 週一 下午9:40,1,蘿蔔,,28,0,0,0,0,0,0,0,2021/11/27,Monday,21:40
a9of-h27x,小鮮雞鹹水雞 滷味,11月27日 週一 下午9:40,1,雞心,,28,0,0,0,0,0,0,0,2021/11/27,Monday,21:40
a9of-h27x,小鮮雞鹹水雞 滷味,11月27日 週一 下午9:40,1,花椰菜,,28,0,0,0,0,0,0,0,2021/11/27,Monday,21:40
a6kf-kgco,古早時代-現炒鴨肉羹．藥頭排骨,11月20日 週一 下午7:19,1,鴨肉羹麵,,75,0,0,0,0,0,0,0,2021/11/20,Monday,19:19
a6kf-kgco,古早時代-現炒鴨肉羹．藥頭排骨,11月20日 週一 下午7:19,1,炒青菜,,80,0,0,0,0,0,0,0,2021/11/20,Monday,19:19
a6kf-kgco,古早時代-現炒鴨肉羹．藥頭排骨,11月20日 週一 下午7:19,1,藥頭排骨,,110,0,0,0,0,0,0,0,2021/11/20,Monday,19:19
a6kf-kgco,古早時代-現炒鴨肉羹．藥頭排骨,11月20日 週一 下午7:19,1,魯肉飯,,50,0,0,0,0,0,0,0,2021/11/20,Monday,19:19
a6kf-kgco,古早時代-現炒鴨肉羹．藥頭排骨,11月20日 週一 下午7:19,1,椒鹽炸鴨心,,170,0,0,0,0,0,0,0,2021/11/20,Monday,19:19
ad7m-53yy,紅花麻辣鹽水雞 (永和樂華店),11月13日 週一 下午8:55,1,紅花鹽水雞腿【任選3款小菜及筍片】,"小黃瓜, 豆乾, 白蘿蔔, 不辣, 正常鹹, 蔥花, 酸菜, 蒜泥",245,0,0,0,0,0,0,0,2021/11/13,Monday,20:55
hllk-pe28,可不可熟成紅茶 (永和永安店),11月10日 週五 下午10:33,1,熟成檸果,"微冰, 一分糖",74,0,0,0,0,0,0,0,2021/11/10,Friday,22:33
hllk-pe28,可不可熟成紅茶 (永和永安店),11月10日 週五 下午10:33,1,柚果紅茶,"少冰, 無糖",64,0,0,0,0,0,0,0,2021/11/10,Friday,22:33
hllk-pe28,可不可熟成紅茶 (永和永安店),11月10日 週五 下午10:33,1,胭脂紅茶,"完全去冰, 半糖",48,0,0,0,0,0,0,0,2021/11/10,Friday,22:33
ad7m-zgmd,紅花麻辣鹽水雞 (永和樂華店),11月10日 週五 下午10:05,1,紅花鹽水雞腿【任選3款小菜及筍片】,"小黃瓜, 得獎豆皮, 高麗菜, 微辣, 微鹹, 蔥花, 酸菜, 蒜泥",245,0,0,0,0,0,0,0,2021/11/10,Friday,22:05
v0qc-5539,清心福全 (嘉義大雅店),11月1日 週三 下午2:58,1,蜂蜜檸檬,"推薦-微冰(30%), 推薦-半蜜【5分蜜】",60,0,0,0,0,0,0,0,2021/11/01,Wednesday,14:58
obrp-l05o,五桐號 WooTEA (永和樂華店),10月29日 週日 下午4:19,1,杏仁凍五桐茶 Wootea with Almond jelly,"大杯, 甜度固定, 固定冰量",65,0,0,0,0,0,0,0,2021/10/29,Sunday,16:19
obrp-l05o,五桐號 WooTEA (永和樂華店),10月29日 週日 下午4:19,1,一把青茶 Turquoise Tea,"大杯, 無糖-0%, 正常冰 - 100%",50,0,0,0,0,0,0,0,2021/10/29,Sunday,16:19
obrp-l05o,五桐號 WooTEA (永和樂華店),10月29日 週日 下午4:19,1,綠茶凍五桐茶拿鐵 Wootea & Jelly with Milk,"大杯, 微糖-30%, 熱",83,0,0,0,0,0,0,0,2021/10/29,Sunday,16:19
f5tv-vhle,麥味登（竹東長春店）,10月12日 週四 上午9:48,1,燻雞漢堡,加蛋,85,0,0,0,0,0,0,0,2021/10/12,Thursday,09:48
f5tv-vhle,麥味登（竹東長春店）,10月12日 週四 上午9:48,1,超厚牛肉起司乳酪堡,,100,0,0,0,0,0,0,0,2021/10/12,Thursday,09:48
f5tv-vhle,麥味登（竹東長春店）,10月12日 週四 上午9:48,1,巧達濃湯,,55,0,0,0,0,0,0,0,2021/10/12,Thursday,09:48
f5tv-vhle,麥味登（竹東長春店）,10月12日 週四 上午9:48,1,紅茶拿鐵【M】,冰,45,0,0,0,0,0,0,0,2021/10/12,Thursday,09:48
f5tv-vhle,麥味登（竹東長春店）,10月12日 週四 上午9:48,1,雞塊,,55,0,0,0,0,0,0,0,2021/10/12,Thursday,09:48
d8kd-o8rp,迷客夏 Milksha (新竹竹東店),10月9日 週一 下午12:57,2,原片初露青茶 Light Oolong,"無糖, 去冰, 珍珠 bubble",110,0,0,0,0,0,0,0,2021/10/09,Monday,12:57
qqgn-7k4d,上宇林頂級茶飲 (永和保平店),10月8日 週日 下午7:31,1,鐵觀音鮮奶茶,"去冰, 半糖, 加珍珠",80,0,0,0,0,0,0,0,2021/10/08,Sunday,19:31
qqgn-7k4d,上宇林頂級茶飲 (永和保平店),10月8日 週日 下午7:31,1,鼎極鮮奶茶,"去冰, 半糖",70,0,0,0,0,0,0,0,2021/10/08,Sunday,19:31
